comment,label
이종석 한효주 나오는 드라마 이후로 드라마 안봤다. 2년전인가?? 좀 신선했었지. 근데 이런 개막장 드라마는 도대체 누가 보느냐면 변태들이 보는 것이다. 정상적인 사람들은 채널을 돌리게 된다.,1.0
씨바알..노무노무 술프노... 오늘 저녁은 꽂등심이다ㅠㅜ,1.0
짱깨 꺼라ㅡ패쓰,1.0
그들의 사생활 ~ 고인이된 설리를 위해서라도 모두 조용하길 지금 누굴 탓한다고 무슨소용이있다고,0.0
아무리 법이 뭣같아도 무슨 자격으로 개인의 신상정보를 불특정 다수에게 공개하는지 도저히 이해가 안되네요 법을 바꾸기 위해 노력하세요 저런 능력으로 불법적인 일을 공공의 이익으로 포장하지 마시구요,0.0
다음도 들어와라하고...다른 의견내는 유튜버 목 자르고....추아줌마 꺼 여기저기서 진술나오니...무슨 기강감찰이니 하며 협박들어가고..... 댓글에 중국 러시아 욕하는 사람들 이제 아가리 닥쳐라. 우리나라도 똑같이 되었다.,1.0
여자들도 아무한테나 자기야라고하는사람있는데 그것도성희롱인것같은데요,0.0
나경아 젖깐사진이나 인스타에 좀올려라 물좀빼게,1.0
어린시절 가정교육 못 받은 애들은 절대 그 본성을 숨길수없지,1.0
지연이 얼굴은 더 배우같네...,0.0
건축학 개론 지금 다시 봤는데 솔직히 건축학 개론 보다는 아닙니다ㅋ 건축학 개론은 건들지 맙시다ㅋ 볼때마다 가슴이 애려 옵니다ㅜㅜ,0.0
개별 공무원 뷰웅들의 헷지랄에 뭔 청와대까지 들먹이는지... 빠끄네 때도 순시리가 개뻘짓했지 청와대는 암것도 않했지 말입니다~,1.0
서열1위네 좆냥이 찍소리도못함ㅋ,1.0
대깨문이 문재인 협박범을 쉴드치네? 역시 대가리가 붕어인듯~,1.0
이런기사 내지마세요.,0.0
세계적으로 코로나19 방역 최고로 인정을 받도록 한 자들에게 큰박수를 보냅니다,0.0
돈이전부는 아니라지만 첫째가 돈이 먼저지 이세상 에는 돈으로 세상을사니ㅠ,0.0
예능 보면서 진지 빠는사람 많네 ㅋㅋ극혐;;;;; 예능은 예능임 저거보고 인성 어쩌고저쩌고 ㅋㅋ어휴 노답,1.0
n차 하면 할수록 닐 너무 짠함ㅠㅜ 어쩐지 처음부터 눈빛이 묘하더라,0.0
오 ㄱㅊ노?? 박 하나 심어놓은다음에 존나패는거,1.0
홍위병들 뭉가 추가 위한다고 아가리 돈이 들어오나?,1.0
시어머니 모셔다 친정엄마 생신상도 차려줄건가! 제능력껏 하던가 친정엄마까지 모셔다 생고생시키면서 점수따고싶나 골빈건지 철딱서니가 없는건지 나이도 40 이나 먹었구만!,1.0
남자측 욕하지마세요,0.0
예술병 걸린 힙스터들이 또 오지게 의미부여하고 빨아줄듯,1.0
오창석 잘생기고 연기도 괜찮은데.. 왜 이런데에....ㅠ피고인때 더 퐉 터뜨렸어야했나,0.0
오로지 냄비가 무기인 오징어썩은 냄새나는 세균덩어리김 치 년 들,1.0
좆냥이주인쉑덜왜 집사집사 ㅇㅈㄹ함 ?,1.0
이건 무슨 소리?,0.0
심뽀 더러운 인간들 많네젊은 청년이 열심히 하는게 참 대단하다 싶은데반면에 시기질투하는 인간들도 많을거야,0.0
공장가야할새끼들이 재수한다고 지랄 꼴깝을 떨어대니깐 자기도 툭튀어 나오는거지 ㅋㅋ,1.0
차은우는 아스트로 탈퇴하고 배우길 걸으면 안돼나요?,0.0
처먹는 예능 그만좀 해라..예능이랍시고 노이즈 마케팅으로 식당 이용하는것도 아니고,1.0
베트콩들 왜이리 나댑니까,1.0
담배피는 여자연예인들 아갈똥네,1.0
도희가 없어서 긍가,0.0
민주당이 압승인데 왜 이런걸로 지랄인지....,1.0
창문에 비춰지는 어머님 설거지 하시는 모습 레게노,0.0
재밍네영 기괴한거말그대로인듯,0.0
한국와서살면 그정돈 아무것도아닐텐데....이참에 귀화해라,0.0
헉 생각보다 엄청 예뻤네요??? ㅎ,0.0
잘생겼다 근데 40대비율 너무높다 으,0.0
근데 김지석은 나올 짬밥이 아닌데,0.0
방탄소년단도 이제 퇴물됬네 꺼져라 이제 ㅋㅋ,1.0
역시 오늘도 엔딩맛집,0.0
기독교 목사가 떡치고 다니고,1.0
최욱만 불쌍 ㅜ,0.0
사람이 저렇게 단기간에 찌우고 빼고 하는데 난 왜 근 10년이 지나도록 빼는거 하나가 어려운걸까..,0.0
신품 때 섹시하신 것도 잘 어울렸는데 이 컨셉은 쪼금 아쉽네용ㅋㅋ 그래도 예쁘심,0.0
요즘 과하게 오픈하시네 ㅋㅋ,0.0
틀딱이네 --- 먹을 나이 됐다,1.0
우익사쿠라 한국에서 꺼져줘~,1.0
문재앙부터 조사가자,1.0
장사해처묵고살기 힘들지 .그냥디져,1.0
요즘 차 좋던데 4년 탔는데 엔진오일만 몇번교환하고 뒷범퍼 추돌해서 교환한것밖에없는데 ~ 타이어교환할때가 되긴했지만 ~,0.0
아 이 개병신새끼씨발ㅋㅋ,1.0
인직 너무 귀엽고 ❤️,0.0
현지해설 풀하이라이트 부탁합니다,0.0
헨리편 노잼 황재균편 꿀잼,0.0
윤은혜는 어쩌고 ??? 이 나쁜 x꺄,1.0
765g? 865원가가 57달러밖에 안하는데 그게 아깝냐?,0.0
고럼고럼 당연한거지,0.0
참...실수해서 제대로 사과했는데 왜 자꾸들 그러는지,0.0
안할꺼면 글올리지마라 노잼,1.0
그냥 병신 프로그램,1.0
여자살인범들은 거의 비슷한게 있는데 수면유도제 아니면 수면제 농약 청산가리등 독극물이 주로 사용된다는점 우리나라 최초 사이코페스점수 만점을 기록을 기록한 엄인숙이라는 여자 사형수가 있는데 정말 잔인함 우선 무척 미인었다고 하고 순진하게 생겼다고 함 그걸 이용해 남자에게 접근 수면제를 먹이고 잠이들면 바늘로 눈을 찔러 장님을 만든다고 함 그다음 일부러 자빠뜨려 뇌진탕을 만들고 식물인간 상태가 되면 뜨거운 기름을 얼굴에 부었다고 함 그런식으로 상해보험이니 사망보험금이니 타먹으려고 자기 엄마까지 눈을 바늘로 찔러 장님을 만들고 보험금을 타먹은 희대의 싸이코페스년이었음,1.0
아 ㅅㅂ 음주운전 쓰ㄹㅔ기들 걍 뒤져라,1.0
ㅂㄷㅂㄷ 대지말고,1.0
마!! 옛날사진으로 사기치지 말고 저 시절로 돌아가라! 장가 가야지👏,0.0
아 ㅠㅠ 오빠 너무 잘생겼어요 .. ㅠㅠ 오빠 때문에 롤 시작했다가 등급 아이언4 나오고 접었어요,0.0
이제 이상민 빚쟁이 캐릭터도 끝난거 아냐?이제 블쌍한척 그만해라 솔까 저시키가 빚쟁이들에게 좋은팁 알려줬지 탁재훈은 걍 여자나 꼬시면서 살고 김수미는 왜케 많이 나와 무슨 욕쟁이 할망구 컨셉이냐,1.0
조민기 남자답노 한녀들 참교육 린정한다 ^오^,1.0
여자때문에 남자가피해보네,1.0
